Date,Weekday,Holiday Name,Holiday Type
2-Sep,Sunday,Janmashtami,Hindu Holiday
3-Sep,Monday,Labor Day,Federal Holiday
4-Sep,Tuesday,World Sexual Health Day,Worldwide observance
5-Sep,Wednesday,International Day of Charity,United Nations observance
8-Sep,Saturday,International Literacy Day,United Nations observance
8-Sep,Saturday,Carl Garner Federal Lands Cleanup Day,Observance
9-Sep,Sunday,National Grandparents Day,Observance
9-Sep,Sunday,California Admission Day,Local observance
10-Sep,Monday,Rosh Hashana,State holiday
10-Sep,Monday,Rosh Hashana,Jewish holiday
10-Sep,Monday,World Suicide Prevention Day,United Nations observance
11-Sep,Tuesday,Patriot Day,Observance
12-Sep,Wednesday,Ganesh Chaturthi,Hindu Holiday
12-Sep,Wednesday,Muharram,Muslim
12-Sep,Wednesday,International Day for South-South Cooperation,United Nations observance
13-Sep,Thursday,International Programmers' Day,Worldwide observance
15-Sep,Saturday,International Day of Democracy,United Nations observance
16-Sep,Sunday,International Day for the Preservation of the Ozone Layer,United Nations observance
17-Sep,Monday,Constitution Day and Citizenship Day,Observance
18-Sep,Tuesday,Air Force Birthday,Observance
19-Sep,Wednesday,Yom Kippur,State holiday
19-Sep,Wednesday,Yom Kippur,Jewish holiday
21-Sep,Friday,International Day of Peace,United Nations observance
21-Sep,Friday,National POW/MIA Recognition Day,Observance
22-Sep,Saturday,Emancipation Day,Local observance
23-Sep,Sunday,September equinox,Season
23-Sep,Sunday,International Celebrate Bisexuality Day,Worldwide observance
24-Sep,Monday,First Day of Sukkot,Jewish holiday
26-Sep,Wednesday,World Day against Trafficking Persons,United Nations observance
26-Sep,Wednesday,International Day for the Total Elimination of Nuclear Weapons,United Nations observance
27-Sep,Thursday,World Maritime Day,United Nations observance
27-Sep,Thursday,World Tourism Day,United Nations observance
28-Sep,Friday,World Rabies Day,United Nations observance
28-Sep,Friday,Native Americans' Day,Local observance
29-Sep,Saturday,World Heart Day,United Nations observance
30-Sep,Sunday,Last Day of Sukkot,Jewish holiday
30-Sep,Sunday,Gold Star Mother's Day,Observance
1-Oct,Monday,Shmini Atzeret,Jewish holiday
1-Oct,Monday,International Day of Older Persons,United Nations observance
1-Oct,Monday,World Habitat Day,United Nations observance
1-Oct,Monday,World Vegetarian Day,Worldwide observance
1-Oct,Monday,Child Health Day,Observance
2-Oct,Tuesday,Simchat Torah,Jewish holiday
2-Oct,Tuesday,International Day of Non-Violence,United Nations observance
3-Oct,Wednesday,World Cerebral Palsy Day,Worldwide observance
4-Oct,Thursday,Feast of St Francis of Assisi,Christian
5-Oct,Friday,World Teachers' Day,United Nations observance
8-Oct,Monday,Columbus Day,Local observance
8-Oct,Monday,Columbus Day,Federal Holiday
8-Oct,Monday,Native Americans' Day,Local observance
8-Oct,Monday,Indigenous People's Day,Local observance
8-Oct,Monday,Indigenous People's Day,Local observance
